TAXREF17;TAXREF17
CD_REF;NOM LATIN
79319;Abies alba
610721;Abies alba x
717018;Abies amabilis
717022;Abies balsamea
79323;Abies bornmuelleriana
717023;Abies bracteata
79325;Abies cephalonica
717024;Abies chensiensis
717025;Abies cilicica
79327;Abies concolor
717026;Abies delavayi
717027;Abies ernestii
717028;Abies fabri
717029;Abies firma
717030;Abies forrestii
717031;Abies georgei
79333;Abies grandis
717033;Abies holophylla
717034;Abies kawakamii
717035;Abies koreana
717036;Abies lasiocarpa
717036;Abies lasiocarpa
717036;Abies lasiocarpa
159901;Abies lowiana
717037;Abies magnifica
717038;Abies nebrodensis
79323;Abies nordmanniana
717039;Abies numidica
79346;Abies pardei
717040;Abies pindrow
79349;Abies pinsapo
79349;Abies pinsapo
79349;Abies pinsapo
79350;Abies procera
717041;Abies recurvata
717042;Abies sibirica
944525;Abies spectabilis
717044;Abies squamata
610720;Abies veitchii
717045;Abies x borisii-regis
79354;Abies x insignis
717046;Abies x vilmorinii
1015586;Callianthe megapotamica
79684;Abutilon theophrasti
92612;Corynabutilon vitifolium
79687;Acacia baileyana
79689;Acacia cultriformis
717047;Acacia cyclops
79691;Acacia dealbata
79691;Acacia decurrens
835510;Vachellia karroo
79698;Acacia longifolia
956657;Acacia longifolia subsp. longifolia
956655;Acacia longifolia subsp. sophorae
79700;Acacia mearnsii
79701;Acacia melanoxylon
717048;Acacia paradoxa
79704;Acacia pravissima
79706;Acacia pycnantha
79707;Acacia retinodes
79708;Acacia riceana
79709;Acacia salicina
79710;Acacia saligna
79711;Acacia verticillata
79713;Acalypha virginica
79716;Acanthoprasium frutescens
79717;Acanthospermum hispidum
79717;Acanthospermum humile
611761;Acanthus arboreus
79721;Acanthus mollis
79723;Acanthus spinosus
79734;Acer campestre
79734;Acer campestre
79734;Acer campestre
79735;Acer cappadocicum
130702;Acer cappadocicum subsp. cappadocicum
79742;Acer davidii
79742;Acer davidii
79742;Acer davidii
79755;Acer japonicum
79755;Acer japonicum
610730;Acer mono
79763;Acer monspessulanum
79766;Acer negundo
130708;Acer negundo subsp. negundo
130714;Acer opalus subsp. obtusatum
79770;Acer opalus
130714;Acer opalus subsp. obtusatum
130715;Acer opalus subsp. opalus
79775;Acer palmatum
610733;Acer pictum
79779;Acer platanoides
79779;Acer platanoides
79783;Acer pseudoplatanus
79783;Acer pseudoplatanus
79783;Acer pseudoplatanus
79788;Acer rubrum
717049;Acer rufinerve
79788;Acer saccharinum
610732;Acer tataricum
79803;Acer x bornmuelleri
79804;Acer x coriaceum
79806;Acer x guyotii
79807;Acer x hybridum
;
79812;Acer x ramosum
79813;Acer x rotundilobum
79814;Acer x sabaudum
79815;Acer x zoeschense
110801;Orchis anthropophora
79865;Achillea ageratum
79867;Achillea aspleniifolia
79868;Achillea atrata
79874;Achillea chamaemelifolia
610734;Achillea coarctata
896277;Achillea collina
79877;Achillea crithmifolia
79886;Achillea distans
130725;Achillea distans subsp. distans
612382;Achillea distans subsp. stricta
130726;Achillea distans subsp. tanacetifolia
79887;Achillea erba-rotta
130727;Achillea erba-rotta subsp. ambigua
130728;Achillea erba-rotta subsp. erba-rotta
130729;Achillea erba-rotta subsp. moschata
79890;Achillea filipendulina
79903;Achillea ligustica
79905;Achillea macrophylla
610735;Achillea maritima
610735;Achillea maritima
610735;Achillea maritima
79867;Achillea millefolium
79908;Achillea millefolium
130728;Achillea erba-rotta subsp. moschata
79913;Achillea nana
79903;Achillea nobilis
130746;Achillea nobilis subsp. nobilis
79915;Achillea odorata
79917;Achillea collina
717711;Achillea pratensis
79921;Achillea ptarmica
130749;Achillea ptarmica subsp. ptarmica
130750;Achillea ptarmica subsp. pyrenaica
130749;Achillea ptarmica subsp. ptarmica
130749;Achillea ptarmica subsp. ptarmica
130749;Achillea ptarmica subsp. ptarmica
79923;Achillea roseo-alba
79927;Achillea collina
79939;Achillea tomentosa
79915;Achillea odorata
717050;Achillea x bronchalensis
79945;Achillea x commutata
79946;Achillea x feliciana
988899;Achillea x intermedia
79950;Achillea x laggeri
79953;Achillea x lereschei
79954;Achillea x maxima
988899;Achillea x intermedia
79959;Achillea x pseudodorata
79960;Achillea x ruscinonensis
79961;Achillea x schneideri
79962;Achillea x schroeteri
79963;Achillea x thomasiana
79965;Achillea x trautmannii
79966;Achillea x valesiaca
79967;Achillea x wilczekiana
717051;Achnatherum bromoides
79970;Achnatherum calamagrostis
610605;Aciphylla aurea
610606;Aciphylla colensoi
;
610604;Aciphylla squarrosa
610607;Acis fabrei
80000;Acis longifolia
610608;Acis nicaeensis
80003;Acis rosea
610574;Acmella leptophylla
717052;Acmispon americanus
80007;Aconitum anthora
618651;Aconitum napellus subsp. burnatii
130784;Aconitum napellus subsp. corsicum
80034;Aconitum lycoctonum
130771;Aconitum lycoctonum subsp. lycoctonum
130772;Aconitum lycoctonum subsp. neapolitanum
998925;Aconitum lycoctonum subsp. vulparia
80037;Aconitum napellus
618651;Aconitum napellus subsp. burnatii
130784;Aconitum napellus subsp. corsicum
130787;Aconitum napellus subsp. lusitanicum
130788;Aconitum napellus subsp. napellus
130792;Aconitum napellus subsp. vulgare
130788;Aconitum napellus subsp. napellus
80066;Aconitum variegatum
;
130802;Aconitum variegatum subsp. paniculatum
130803;Aconitum variegatum subsp. pyrenaicum
130805;Aconitum variegatum subsp. valesiacum
130806;Aconitum variegatum subsp. variegatum
80073;Aconitum x cammarum
610740;Aconitum x molle
80082;Aconitum x zahlbruckneri
80086;Acorus calamus
80137;Actaea spicata
80138;Actinidia chinensis
80140;Actinidia deliciosa
80155;Adenocarpus complicatus
130820;Adenocarpus complicatus subsp. complicatus
612383;Adenocarpus complicatus subsp.
130823;Adenocarpus complicatus subsp. parvifolius
80155;Adenocarpus complicatus
80183;Adenostyles alliariae
80183;Adenostyles alpina
130834;Adenostyles alpina subsp. alpina
130835;Adenostyles alpina subsp. briquetii
718206;Adenostyles alpina subsp. pyrenaica
80190;Adenostyles leucophylla
80194;Adenostyles x canescens
80195;Adenostyles x eginensis
80196;Adenostyles x intermedia
447951;Adiantum capillus-veneris
447953;Adiantum raddianum
80211;Adonis aestivalis
80211;Adonis aestivalis
80211;Adonis aestivalis
80211;Adonis aestivalis
80211;Adonis aestivalis
80212;Adonis annua
80212;Adonis annua
80212;Adonis annua
80212;Adonis annua
80211;Adonis dentata
80224;Adonis flammea
80224;Adonis flammea
80224;Adonis flammea
80212;Adonis annua
80238;Adonis pyrenaica
80240;Adonis vernalis
80243;Adoxa moschatellina
80263;Aegilops biuncialis
718298;Aegilops biuncialis subsp. biuncialis
80270;Aegilops caudata
610755;Aegilops columnaris
610756;Aegilops crassa
80270;Aegilops cylindrica
80278;Aegilops geniculata
80282;Aegilops juvenalis
955740;Aegilops speltoides subsp. ligustica
;
80288;Aegilops neglecta
80297;Aegilops speltoides subsp. ligustica
955741;Aegilops speltoides subsp. speltoides
80302;Aegilops triuncialis
160336;Aegilops triuncialis subsp. triuncialis
80304;Aegilops ventricosa
932300;x Aegilotriticum
610609;Aegokeras caespitosa
80322;Aegopodium podagraria
80329;Aeluropus littoralis
80331;Aeonium arboreum
610758;Aeonium cuneatum
80332;Aeonium haworthii
447156;Aeschynomene indica
80338;Aesculus carnea
610760;Aesculus flava
80334;Aesculus hippocastanum
610759;Aesculus parviflora
80335;Aesculus pavia
80347;Aethionema monospermum
80347;Aethionema saxatile
80347;Aethionema monospermum
80351;Aethionema thomasianum
80358;Aethusa cynapium
130873;Aethusa cynapium subsp. cynapium
130873;Aethusa cynapium subsp. cynapium
130873;Aethusa cynapium subsp. cynapium
611902;Aethusa cynapium subsp. elata
80371;Agapanthus africanus
80372;Agapanthus campanulatus
80373;Agapanthus inapertus
154683;Agapanthus inapertus subsp. pendulus
611775;Agapanthus praecox
80383;Agave americana
610761;Agave bracteosa
610762;Agave salmiana
80387;Ageratina adenophora
445438;Ageratum conyzoides
80390;Ageratum houstonianum
80410;Agrimonia eupatoria
130876;Agrimonia eupatoria subsp. eupatoria
130877;Agrimonia eupatoria subsp. grandis
80417;Agrimonia procera
80417;Agrimonia procera
80424;Agrimonia x wirtgenii
80446;Agropyron cristatum
130885;Agropyron cristatum subsp. pectinatum
80546;Agrostemma githago
610787;Agrostemma gracile
80741;Agrostis schraderiana
80564;Agrostis alpina
80564;Agrostis alpina
80564;Agrostis alpina
80564;Agrostis canina
613139;Agrostis canina var. canina
130945;Agrostis canina subsp. canina
718632;Agrostis canina var. opulenta
80591;Agrostis capillaris
130953;Agrostis capillaris var. capillaris
130953;Agrostis capillaris var. capillaris
;
613447;Agrostis capillaris var. alpigena
130953;Agrostis capillaris var. capillaris
610794;Agrostis x fouilladeana
80593;Agrostis castellana
718633;Agrostis castellana var. castellana
621655;Agrostis castellana var. mutica
80605;Agrostis curtisii
718382;Neoschischkinia truncatula subsp. durieui
80639;Agrostis gigantea
80639;Agrostis gigantea
610791;Agrostis x gigantifera
80645;Agrostis hesperica
80650;Agrostis hyemalis
610789;Agrostis marysae-tortiae
80672;Agrostis mertensii
610790;Agrostis montevidensis
717797;Neoschischkinia pourretii
80564;Agrostis alpina
613452;Agrostis rupestris var. alpinoides
80729;Agrostis rupestris
142920;Agrostis rupestris var. pyrenaica
613160;Agrostis rupestris var. rupestris
80735;Agrostis scabra
80739;Agrostis schleicheri
80741;Agrostis schraderiana
80591;Agrostis stolonifera
613631;Agrostis stolonifera var. arenaria
613631;Agrostis stolonifera var. arenaria
610791;Agrostis x gigantifera
80759;Agrostis stolonifera
142987;Agrostis stolonifera var. stolonifera
109496;Neoschischkinia elegans
80590;Agrostis canina
612384;Agrostis vinealis subsp. ericetorum
